dt,A,B
0,0,0
1.648159742,0,0
2.14E+00,0,0
2.17E+00,0,0
2.20E+00,0,0
2.23E+00,0,0
2.26E+00,0,0
2.29E+00,0,0
2.32E+00,0,0
2.35E+00,0,0
2.39E+00,0,0
2.42E+00,0,0
2.45E+00,0,0
2.48E+00,0,0
2.51E+00,0,0
2.54E+00,0,0
2.57E+00,0,0
2.60E+00,0,0
2.64E+00,0,0
2.67E+00,0,0
2.70E+00,0,0
2.73E+00,0,0
2.76E+00,0,0
2.79E+00,0,0
2.83E+00,0,0
2.86E+00,0,0
2.89E+00,0,0
2.92E+00,0,0
2.95E+00,0,0
2.98E+00,0,0
3.01E+00,0,0
3.04E+00,0,0
3.07E+00,0,0
3.11E+00,0,0
3.14E+00,0,0
3.17E+00,0,0
3.20E+00,0,0
3.23E+00,0,0
3.26E+00,0,0
3.29E+00,0,0
3.32E+00,0,0
3.36E+00,0,0
3.39E+00,0,0
3.42E+00,0,0
3.45E+00,0,0
3.48E+00,0,0
3.51E+00,0,0
3.54E+00,0,0
3.58E+00,0,0
3.61E+00,0,0
3.64E+00,0,0
3.67E+00,0,0
3.70E+00,0,0
3.73E+00,0,0
3.76E+00,0,0
3.79E+00,0,0
3.83E+00,0,0
3.86E+00,0,0
3.89E+00,0,0
3.92E+00,0,0
3.95E+00,0,0
3.98E+00,0,0
4.01E+00,0,0
4.04E+00,0,0
4.08E+00,0,0
4.11E+00,0,0
4.14E+00,0,0
4.17E+00,0,0
4.20E+00,0,0
4.23E+00,0,0
4.26E+00,0,0
4.30E+00,0,0
4.33E+00,0,0
4.36E+00,0,0
4.39E+00,0,0
4.42E+00,0,0
4.45E+00,0,0
4.49E+00,0,0
4.52E+00,0,0
4.55E+00,0,0
4.58E+00,0,0
4.61E+00,0,0
4.64E+00,0,0
4.68E+00,0,0
4.71E+00,0,0
4.74E+00,0,0
4.77E+00,0,0
4.80E+00,0,0
4.83E+00,0,0
4.87E+00,0,0
4.90E+00,0,0
4.93E+00,0,0
4.96E+00,0,0
4.99E+00,0,0
5.02E+00,0,0
5.05E+00,0,0
5.08E+00,0,0
5.11E+00,0,0
5.14E+00,0,0
5.18E+00,0,0
5.21E+00,0,0
5.24E+00,0,0
5.27E+00,0,0
5.30E+00,0,0
5.33E+00,0,0
5.36E+00,0,0
5.39E+00,0,0
5.42E+00,0,0
5.45E+00,0,0
5.48E+00,0,0
5.52E+00,0,0
5.55E+00,0,0
5.58E+00,0,0
5.61E+00,0,0
5.64E+00,0,0
5.67E+00,0,0
5.70E+00,0,0
5.73E+00,0,0
5.77E+00,0,0
5.80E+00,0,0
5.83E+00,0,0
5.86E+00,0,0
5.89E+00,0,0
5.92E+00,0,0
5.95E+00,0,0
5.98E+00,0,0
6.01E+00,0,0
6.04E+00,0,0
6.07E+00,0,0
6.11E+00,0,0
6.14E+00,0,0
6.17E+00,0,0
6.20E+00,0,0
6.23E+00,0,0
6.26E+00,0,0
6.29E+00,0,0
6.32E+00,0,0
6.35E+00,0,0
6.39E+00,0,0
6.42E+00,0,0
6.45E+00,0,0
6.48E+00,0,0
6.51E+00,0,0
6.54E+00,0,0
6.57E+00,0,0
6.61E+00,0,0
6.64E+00,0,0
6.67E+00,0,0
6.70E+00,0,0
6.73E+00,0,0
6.76E+00,0,0
6.79E+00,0,0
6.83E+00,0,0
6.86E+00,0,0
6.89E+00,0,0
6.92E+00,0,0
6.951192856,0,0
6.982054472,0,0
7.013641596,0,0
7.044463873,0,0
7.075555563,0,0
7.106667757,0,0
7.138521433,0,0
7.169671535,0,0
7.201267004,0,0
7.231803417,0,0
7.262942314,0,0
7.293723106,0,0
7.324617386,0,0
7.356004,0,0
7.387107611,0,0
7.41825676,0,0
7.449202776,0,0
7.48076582,0,0
7.511778116,0,0
7.542058706,0,0
7.572724819,0,0
7.603870392,-0.00010988,-4.88673E-07
7.634011269,-0.00010988,-4.88673E-07
7.666056156,-0.00010988,-4.88673E-07
7.698296547,-0.00010988,-4.88673E-07
7.729650497,-0.00010988,-4.88673E-07
7.760659695,-0.00010988,-4.88673E-07
7.792287827,-0.00010988,-4.88673E-07
7.822844028,-0.00010988,-4.88673E-07
7.854030848,-0.00010988,-4.88673E-07
7.885655165,-0.00010988,-4.88673E-07
7.917371035,-0.00010988,-4.88673E-07
7.948660851,-0.00010988,-4.88673E-07
7.980742455,-0.00010988,-4.88673E-07
8.012036324,0,0
8.043652534,0,0
8.075351477,0,0
8.10627389,0,0
8.137532711,0,0
8.167938232,0,0
8.200047016,0,0
8.231395483,0,0
8.263079882,0,0
8.294047356,0,0
8.32471633,0,0
8.356399775,0,0
8.387138128,0,0
8.417197943,0,0
8.448466063,0,0
8.479807854,0,0
8.510331392,0,0
8.54162097,0,0
8.572441816,0,0
8.603602409,0,0
8.634347439,0,0
8.666325569,0,0
8.697169065,0,0
8.728526831,0,0
8.759343863,0,0
8.790470362,0,0
8.821365356,0,0
8.852739573,0,0
8.884016752,0,0
8.915258169,0,0
8.946533442,0,0
8.98E+00,0,0
9.01E+00,0,0
9.04E+00,0,0
9.07E+00,0,0
9.10E+00,0,0
9.13E+00,0,0
9.16E+00,0,0
9.20E+00,0,0
9.23E+00,0,0
9.26E+00,0,0
9.29E+00,0,0
9.32E+00,0,0
9.35E+00,0,0
9.38E+00,0,0
9.41E+00,0,0
9.45E+00,0,0
9.48E+00,0,0
9.51E+00,0,0
9.54E+00,0,0
9.57E+00,0,0
9.60E+00,0,0
9.63E+00,0,0
9.66E+00,0,0
9.69E+00,0,0
9.73E+00,0,0
9.76E+00,0,0
9.79E+00,0,0
9.82E+00,0,0
9.85E+00,0,0
9.88E+00,0,0
9.91E+00,0,0
9.94E+00,0,0
