dt,A,B
6.894691706,5.38165E-05,0.000109711
6.926746845,5.38165E-05,0.000109711
6.958265066,5.38165E-05,0.000109711
6.989669323,5.38165E-05,0.000109711
7.020680428,5.38165E-05,0.000109711
7.051268816,5.38165E-05,0.000109711
7.083123446,5.38165E-05,0.000109711
7.113703251,5.38165E-05,0.000109711
7.144559145,5.38165E-05,0.000109711
7.176316738,5.38165E-05,0.000109711
7.207949877,5.38165E-05,0.000109711
7.239269972,5.38165E-05,0.000109711
7.271064997,5.38165E-05,0.000109711
7.302176237,5.38165E-05,0.000109711
7.333272219,5.38165E-05,0.000109711
7.365075827,5.38165E-05,0.000109711
7.396129847,5.38165E-05,0.000109711
7.427931547,5.38165E-05,0.000109711
7.45890975,5.38165E-05,0.000109711
7.490746021,5.38165E-05,0.000109711
7.522233486,5.38165E-05,0.000109711
7.553078413,5.38165E-05,0.000109711
7.584905148,5.38165E-05,0.000109711
7.615808964,5.38165E-05,0.000109711
7.646088362,5.38165E-05,0.000109711
7.677865505,5.38165E-05,0.000109711
7.710002661,5.38165E-05,0.000109711
7.740665674,5.38165E-05,0.000109711
7.771943331,5.38165E-05,0.000109711
7.803563833,5.38165E-05,0.000109711
7.834228277,5.38165E-05,0.000109711
7.865051985,5.38165E-05,0.000109711
7.896211863,5.38165E-05,0.000109711
7.927798271,5.38165E-05,0.000109711
7.958755016,5.38165E-05,0.000109711
7.989291668,5.38165E-05,0.000109711
8.021574974,5.38165E-05,0.000109711
8.054024458,5.38165E-05,0.000109711
8.085771799,5.38165E-05,0.000109711
8.116046667,5.38165E-05,0.000109711
8.147433996,5.38165E-05,0.000109711
8.178239584,5.38165E-05,0.000109711
8.209081411,5.38165E-05,0.000109711
8.24002862,5.38165E-05,0.000109711
8.272032976,5.38165E-05,0.000109711
8.304337978,5.38165E-05,0.000109711
8.335942507,5.38165E-05,0.000109711
8.367336988,5.38165E-05,0.000109711
8.398907661,5.38165E-05,0.000109711
8.430052042,-3.13207E-07,0.000109896
8.461243391,-3.13207E-07,0.000109896
8.493216753,-3.13207E-07,0.000109896
8.524098158,-3.13207E-07,0.000109896
8.555035591,-3.13207E-07,0.000109896
8.58634758,-3.13207E-07,0.000109896
8.618082762,-3.13207E-07,0.000109896
8.649962902,-3.13207E-07,0.000109896
8.681508541,-3.13207E-07,0.000109896
8.711911201,-3.13207E-07,0.000109896
8.742665529,-3.13207E-07,0.000109896
8.773504734,-3.13207E-07,0.000109896
8.805151701,-3.13207E-07,0.000109896
8.836720705,-3.13207E-07,0.000109896
8.867127419,-3.13207E-07,0.000109896
8.898736715,-3.13207E-07,0.000109896
8.929781437,-3.13207E-07,0.000109896
8.960212231,-3.13207E-07,0.000109896
8.991615295,-3.13207E-07,0.000109896
9.023708344,-3.13207E-07,0.000109896
9.05497551,-3.13207E-07,0.000109896
9.086317539,-3.13207E-07,0.000109896
9.117085695,-3.13207E-07,0.000109896
9.148409367,-3.13207E-07,0.000109896
9.179278612,-3.13207E-07,0.000109896
9.2101717,-3.13207E-07,0.000109896
9.241316795,-3.13207E-07,0.000109896
9.273347616,-3.13207E-07,0.000109896
9.304919243,-3.13207E-07,0.000109896
9.336536884,-3.13207E-07,0.000109896
9.367199898,-3.13207E-07,0.000109896
9.398164988,-3.13207E-07,0.000109896
9.429785252,-3.13207E-07,0.000109896
9.46111536,-3.13207E-07,0.000109896
9.492291689,-3.13207E-07,0.000109896
9.523952961,-3.13207E-07,0.000109896
9.555776358,-3.13207E-07,0.000109896
9.587050915,-3.13207E-07,0.000109896
9.619176388,-3.13207E-07,0.000109896
9.651245594,-3.13207E-07,0.000109896
9.682057619,-3.13207E-07,0.000109896
9.712746382,-3.13207E-07,0.000109896
9.743336916,-3.13207E-07,0.000109896
9.775510311,-3.13207E-07,0.000109896
9.80706048,-3.13207E-07,0.000109896
9.838437319,-3.13207E-07,0.000109896
9.86937809,-3.13207E-07,0.000109896
9.901594877,-3.13207E-07,0.000109896
9.933884144,-3.13207E-07,0.000109896
9.965710402,-3.13207E-07,0.000109896
9.997117758,-3.13207E-07,0.000109896
10.0286603,-3.13207E-07,0.000109896
10.05995083,-3.13207E-07,0.000109896
10.09134698,-3.13207E-07,0.000109896
10.12310696,-3.13207E-07,0.000109896
10.15497279,-3.13207E-07,0.000109896
10.18520904,-3.13207E-07,0.000109896
10.21602464,-3.13207E-07,0.000109896
10.24781513,-3.13207E-07,0.000109896
10.27872062,-3.13207E-07,0.000109896
10.31052566,-3.13207E-07,0.000109896
10.34163928,-3.13207E-07,0.000109896
10.37237358,-3.13207E-07,0.000109896
10.40198064,-3.13207E-07,0.000109896
10.43256378,-3.13207E-07,0.000109896
10.46402717,0,0
10.49549246,0,0
10.52674818,0,0
10.55816746,0,0
10.58886337,0,0
10.62060332,0,0
10.65195465,0,0
10.68272161,0,0
10.71298695,0,0
10.74322724,0,0
10.77481699,0,0
10.80584264,0,0
10.83729744,0,0
10.86856341,0,0
10.89952493,0,0
10.93104172,0,0
10.96332932,0,0
10.99539709,0,0
11.02757621,0,0
11.05893803,0,0
11.09048033,0,0
11.12201142,0,0
11.15253329,0,0
11.1835413,0,0
11.21449828,0,0
11.2454896,0,0
11.27656937,0,0
11.30805039,0,0
11.3393662,0,0
11.37050653,0,0
11.40272522,0,0
11.43388343,0,0
