dt,A
9.359486103,0.002003908
9.39005661,0.002003908
9.420652151,0.002003908
9.451567411,0.002003908
9.482667446,0.002003908
9.514491796,0.002003908
9.545887232,0.002003908
9.577722073,0.002003908
9.609176636,0.002003908
9.640483141,0.002003908
9.670828581,0.002003908
9.702115059,0.002003908
9.733161211,0.002003908
9.764779568,0.002003908
9.796342611,0.002003908
9.827389002,0.002003908
9.858605146,0.002003908
9.889680624,0.002003908
9.921206713,0.002003908
9.951326609,0.002003908
9.983407974,0.002003908
10.01467848,0.002003908
10.04594684,0.002003908
10.07728672,0.002003908
10.10833335,0.002003908
10.1400466,0.002003908
10.17105746,0.002003908
10.20216203,0.002003908
10.23304081,0.002003908
10.26453233,0.002003908
10.29682493,0.002003908
10.32808328,0.002003908
10.35941744,0.002003908
10.39135194,0.002003908
10.42168021,0.002003908
10.45239162,0.002003908
10.48384404,0.002003908
10.51530957,0.002003908
10.54692435,0.002003908
10.57815719,0.002003908
10.60917449,0.002003908
10.64024711,0.002003908
10.67177773,0.002003908
10.70331001,0.002003908
10.73476338,0.002003908
10.76604295,0.002003908
10.79746747,0.002003908
10.82824492,0.002003908
10.85958076,0.002003908
10.88997746,0.002003908
10.92169404,0.002003908
10.95281911,0.002003908
10.98470283,0.002003908
11.01627374,0.002003908
11.04690623,0.002003908
11.07831502,0.002003908
11.10998273,0.002003908
11.14169264,0.002003908
11.17359042,0.002003908
11.2050128,0.002003908
11.23603272,0.001730568
11.26740193,0.00134523
11.29870129,0.001235449
11.33116651,0.001233288
11.36255264,0.001230847
11.39403033,0.001121066
11.42462301,0.001067254
11.45557022,0.001008848
11.48728013,0.001008848
11.5183177,0.000955032
11.54939795,0.000899066
11.58041573,0.000840648
11.61197805,0.000784687
11.64284253,0.000784687
11.67409968,0.000730861
11.70538783,0.000674905
11.73616838,0.000674905
11.76734161,0.000618647
11.79849672,0.000560525
11.8293891,0.000560525
11.85992479,0.000506689
11.89036345,0.000450742
11.92175961,0.000336361
11.95357013,0.000336361
11.98430061,0.000336361
12.01547861,0.000226577
12.04716277,0.000226577
12.07798481,0.000224161
12.10910487,0.00017031
12.14054084,0.000112197
12.17163467,0.000112197
12.20340848,0.000112197
12.23415613,2.41189E-06
12.26551485,0
12.29629946,0
12.32828498,0
12.35952735,0
12.39190245,0
12.42307377,0
12.45398569,0
12.48532677,0
12.5162046,0
12.54722953,0
12.5785892,0
12.60975266,0
12.64128089,0
12.67261791,0
12.70348597,0
12.73516369,0
12.7666285,0
12.79763436,0
12.82897472,0
12.85992956,0
12.89108348,0
12.92345786,0
12.95488954,0
12.98655057,0
13.01701951,0
13.04882813,0
13.08052516,0
13.1117456,0
13.14271164,0
13.1739738,0
13.205338,0
13.23674941,0
13.26825023,0
13.29876614,0
13.33024502,0
13.3618896,0
13.39399719,0
13.42529035,0
13.45627904,0
13.4881537,0
13.51994777,0
13.55117083,0
13.58225489,0
13.61441636,0
13.64648771,0
13.67757988,0
13.709126,0
13.74082899,0
13.77169442,0
13.80436492,0
13.83475685,0
13.86614561,0
13.8970592,0
13.92835855,0
13.95964861,0
13.99091411,0
14.02260423,0
14.05473399,0
14.08550906,0
14.11635709,0
14.14748383,0
14.17851877,0
14.21003962,0
14.2415185,0
14.27330709,0
14.30383515,0
14.33497977,0
14.3662889,0
14.3972218,0
14.42890835,0
14.46058869,0
14.49237561,0
14.52454185,0
14.55567527,0
14.58710408,0
14.61835122,0
14.64927244,0
14.68026304,0
14.71149206,0
14.74320221,0
14.77519417,0
14.80642271,0
14.83761859,0
14.86776233,0
14.89917231,0
14.93145967,0
14.96247554,0
14.99390626,0
15.02511215,0
15.05641317,0
15.08823586,0
15.11923933,0
15.15038395,0
15.18222833,0
15.21397066,0
15.2457633,0
15.27681613,0
15.30797291,0
15.33929777,0
15.36999679,0
15.4010067,0
15.43263936,0
15.46447682,0
15.49615407,0
15.5274291,0
15.55868053,0
15.58991504,0
15.62081265,0
15.6514461,0
15.68233299,0
15.71340227,0
15.7444694,0
15.77583408,0
15.80739188,0
15.83915734,0
15.87057304,0
15.90238237,0
15.93355775,0
15.9651649,0
15.99627423,0
16.02805138,0
16.05947757,0
16.09078431,0
16.12244987,0
16.15383434,0
16.18484521,0
16.21602869,0
16.24735904,0
16.27882528,0
16.31077647,0
16.34251356,0
16.37310624,0
16.40388989,0
16.43473554,0
16.46613169,0
16.49833226,0
16.52937841,0
16.56064725,0
16.59131718,0
16.62302637,0
16.65397882,0
16.68503404,0
16.71631837,0
16.74789858,0
16.77889419,0
16.81032848,0
16.84174347,0
16.87280726,0
16.90361738,0
16.93404818,0
16.96577668,0
16.99680066,0
17.02848148,0
17.0593071,0
17.09116888,0
17.12221718,0
17.15325999,0
17.18490171,0
17.21755481,0
17.24881172,0
17.28038383,0
17.31156731,0
17.34262848,0
17.37358308,0
17.40498304,0
17.43654799,0
17.46788001,0
17.49926186,0
17.5310061,0
17.56293964,0
17.59549117,0
17.62651658,0
17.65794182,0
17.689852,0
17.72078609,0
17.7524147,0
17.7837584,0
